Sl. No,NameOfIncident,Date,Month,Year,Country,TypeOfEvent,PlaceName,Impact,AffectedPopulation,ImportantPersonGroupResponsible,Outcome,latitude,longitude
904,Signing of the Treaty of Utrecht,11,April,1713.0,Spain,Peace Treaty,Utrecht,Ended the War of the Spanish Succession,European powers,"Philip V of Spain, European powers",Negative,42.0582633,3.161221
905,Peninsular War,2,May,1808.0,Spain,War,Iberian Peninsula,"Weakened Spanish control, rise of national sentiment",Spanish population,"Napoleon Bonaparte, Spanish guerrillas",Negative,39.8963997,-4.49743657062888
906,Spanish Constitution of 1812,19,March,1812.0,Spain,Political,Cadiz,"Liberal constitution, shortUnknownlived reforms",Spanish population,Spanish Cortes of Cádiz,Mixed,36.5262463,-5.9008367301110844
910,Barcelona Olympics,25,July,1992.0,Spain,International Event,Barcelona,Showcased Spain on the global stage,"International, Spanish population","International Olympic Committee, Spanish Government",Positive,41.3828939,2.1774322
913,Catalan Independence Referendum,1,October,2017.0,Spain,Political/Secession,Catalonia,Intensified national debate on regional independence,"Catalan population, Spanish population","Catalan Government, Spanish Government",Negative,41.8523094,1.5745043
915,Exhumation of Francisco Franco,24,October,2019.0,Spain,Historical Reconciliation,Valle de los Caídos,Addressed historical memory issues,Spanish population,Spanish Government,Positive,40.64179465,-4.15528565
916,Madrid's Bid for 2020 Olympics,7,September,2013.0,Spain,International Event,Madrid,"Boosted city's infrastructure and global image, despite not winning the bid","Madrid's population, International","Spanish Government, IOC",Mixed,40.4167047,-3.7035825
918,ETA's Permanent Ceasefire,20,October,2011.0,Spain,Peace/Security,Basque Country,End of ETA's armed campaign for Basque independence,"Basque population, Spanish population","ETA, Spanish Government",Positive,42.728653050000005,-1.97383746697463
921,Discovery of Altamira Cave Paintings,Unknown,Unknown,1879.0,Spain,Archaeological Discovery,Altamira,Revealed prehistoric human presence in Europe,"Academic community, worldwide",Marcelino Sanz de Sautuola,Positive,43.3768445,-4.1197476
922,Spanish Flu Pandemic,Unknown,Unknown,1918.0,Spain,Health Crisis,Worldwide,One of the deadliest pandemics in human history,Global population,H1N1 influenza virus,Negative,27.7472129,-15.6223979
923,Alhambra Decree,31,March,1492.0,Spain,Religious Policy,Granada,Expulsion of the Jews from Spain,Jewish population in Spain,Catholic Monarchs,Negative,37.1734995,-3.5995337
925,2010 FIFA World Cup Victory,11,July,2010.0,South Africa,Sports,Johannesburg,"First World Cup win, boosted national pride","Spanish population, international",Spanish National Football Team,Positive,-26.205,28.049722
928,Sinking of the Spanish Armada,8,August,1588.0,United Kingdom,Naval Engagement,English Channel,Marked decline of Spanish naval supremacy,"Spanish Navy, English Navy","Philip II of Spain, Elizabeth I of England",Negative,50.780805,-0.678208
935,Introduction of Phoenician Trade,Unknown,Unknown,-1100.0,Spain,Economic/Cultural,Cadiz,"Early Phoenician traders establish contacts, leading to cultural and economic exchanges","Local inhabitants, Phoenicians",Phoenician traders,Positive,36.5262463,-5.9008367301110844
936,Battle of Guadalete,Unknown,Unknown,711.0,Spain,Military Conquest,Guadalete River,Marked the beginning of Muslim rule in the Iberian Peninsula,"Visigothic Kingdom, Muslims","Tariq ibn Ziyad, King Roderic",Negative,36.7695335,-5.7710556
940,Establishment of Gadir by Phoenicians,Unknown,Unknown,-1100.0,Spain,Colonial Settlement,Cadiz,One of the oldest continuously inhabited cities in Western Europe,"Local inhabitants, Phoenicians",Phoenician traders,Positive,36.5262463,-5.9008367301110844
946,Establishment of the Kalmar Union,Unknown,Unknown,1397.0,Denmark,Political Union,"Kalmar, Sweden",United the Nordic countries under a single monarch.,Scandinavian kingdoms,Margaret I,Mixed,,
949,Treaty of Roskilde,26,February,1658.0,Denmark,Peace Treaty,Roskilde,Denmark ceded significant territories to Sweden.,DanishUnknownSwedish populations,Frederick III of Denmark,Negative,55.6433478,12.0819247
956,Copenhagen Fire,Unknown,Unknown,1728.0,Denmark,Disaster,Copenhagen,Devastated large parts of Copenhagen.,Danish population,Unknown,Negative,55.6867243,12.5700724
958,Lapland War,Unknown,Unknown,1944.0,Finland,Military,Lapland,Finland,German soldiers,Finnish Army,Positive,67.6923521,26.729968325939534
959,First Schleswig War,Unknown,Unknown,1848.0,Denmark,Military,Schleswig,Danish victory preserved control over the duchies.,Danes,Germans,Positive,54.85576545,9.366532242641568
962,Second Schleswig War,Unknown,Unknown,1864.0,Denmark,Military,Schleswig,Danish loss of SchleswigUnknownHolstein to Prussia and Austria.,Danes,Unknown,Negative,54.85576545,9.366532242641568
963,Founding of Oslo,Unknown,Unknown,1048.0,Norway,Foundational,Oslo,Establishment of Oslo,Norwegians,Harald Hardrada,Positive,59.9133301,10.7389701
964,Signing of the Treaty of Fredrikshamn,Unknown,September,1809.0,Finland,Treaty,Frederikshavn,Finland ceded from Sweden to Russia, Swedes,Alexander I of Russia,Negative,,
969,Discovery of Diamonds,Unknown,Unknown,1867.0,South Africa,Economic,Kimberley,"Sparked the diamond rush, leading to economic boom.",South Africans,Erasmus Jacobs,Mixed,-28.7383012,24.7642251
975,Great Zimbabwe Era,Unknown,Unknown,1450.0,Zimbabwe,Civilization,Great Zimbabwe,Development of a sophisticated urban and trading society.,Zimbabweans,Unknown,Positive,-20.2709359,30.9331977
976,Foundation of Marrakech,Unknown,Unknown,1062.0,Morocco,City Foundation,Marrakech,Establishment of Marrakech as a major economic center.,Moroccans,Almoravid dynasty,Positive,31.6258257,-7.9891608
978,Suez Canal Opening,17,November,1869.0,Egypt,Engineering Marvel,Suez Canal,"Connected the Mediterranean Sea to the Red Sea, boosting trade.",Global population,Ferdinand de Lesseps,Positive,30.04542955,32.57450729306838
992,Sharpeville Massacre,21,March,1960.0,South Africa,Massacre,Sharpeville,"AntiUnknownapartheid protest met with police violence, significant deaths.",South Africans,South African Police,Negative,-26.685,27.8758333
993,Battle of Algiers,Unknown,Unknown,1956.0,Algeria,Military Engagement,Algiers,Pivotal conflict in the Algerian War of Independence.,Algerians,"FLN, French paratroopers",Mixed,36.7753606,3.0601882
1007,Signing of Arusha Accords,4,August,1993.0,Rwanda,Peace Agreement,"Arusha, Tanzania",Attempted to end the Rwandan Civil War.,Rwandans,"Rwandan Government, RPF",Mixed,,
1036,Mozambique Civil War Ends,4,October,1992.0,Mozambique,Peace Agreement,"Rome, Italy","End of a devastating civil war, leading to peace and reconstruction.",Mozambicans,"Joaquim Chissano, RENAMO",Positive,,
1044,Joseph Kony Insurgency Declines,Unknown,Unknown,2011.0,Uganda,Military,Northern Uganda,"Significant decline in LRA activities, improvement in regional security.",Ugandans,"Ugandan Military, International Efforts",Positive,0.3437999,32.5625268
1045,Fall of Gaddafi,20,October,2011.0,Libya,Revolution,"Sirte, Libya","Marked the end of Muammar Gaddafi's 42Unknownyear rule, leading to a period of instability.",Libyans,"NATO, Libyan Rebels",Mixed,32.8834833,13.1902348
1046,Egyptian Revolution of 2011,25,January,2011.0,Egypt,Revolution,"Cairo, Egypt",Led to the overthrow of President Hosni Mubarak.,Egyptians,"Egyptian protestors, military",Mixed,40.684763,-75.537464
1047,Coup d'état,22,March,2012.0,Mali,Coup,"Bamako, Mali","Military coup overthrew the government, leading to political instability and conflict.",Malians,"Malian soldiers, Amadou Sanogo",Negative,12.6078415,-7.9874585
1049,Boko Haram Insurgency Intensifies,Unknown,Unknown,2009.0,Nigeria,Insurgency,Northeast Nigeria,"Led to thousands of deaths and displacement, challenging national security.",Nigerians,Boko Haram,Negative,,
1051,Fall of Blaise Compaoré,31,October,2014.0,Burkina Faso,Revolution,"Ouagadougou, Burkina Faso","Ended Blaise Compaoré's 27Unknownyear rule, sparked by mass protests.",Burkinabè,Burkinabè protestors,Positive,12.3681873,-1.5270944
1052,Coup d'état Leads to Mugabe's Resignation,21,November,2017.0,Zimbabwe,Coup,"Harare, Zimbabwe","Ended Robert Mugabe's 37Unknownyear rule, Emmerson Mnangagwa became president.",Zimbabweans,"Zimbabwean Military, Emmerson Mnangagwa",Mixed,-20.1337025,28.6288444
1058,Nairobi's DusitD2 Complex Attack,15,January,2019.0,Kenya,Terrorism,"Nairobi, Kenya",Highlighted the ongoing threat of terrorism in East Africa.,Kenyans,AlUnknownShabaab,Negative,-1.1743797,36.9146727
1060,Tigray Conflict Begins,4,November,2020.0,Ethiopia,Conflict,"Tigray, Ethiopia","Conflict between Ethiopian government forces and TPLF, leading to humanitarian crisis.",Ethiopians,"Ethiopian Government, TPLF",Negative,,
1062,Juba Peace Agreement,3,October,2020.0,Sudan,Peace Agreement,"Juba, South Sudan","Aimed at ending conflicts in Darfur, South Kordofan, and Blue Nile states.",Sudanese,"Sudanese Transitional Government, Rebel Groups",Positive,,
1065,Discovery by Portugal,22,April,1500.0,Brazil,Discovery,Brazilian Coast,Beginning of Portuguese colonization,Indigenous peoples,Pedro Álvares Cabral,Mixed,,
1066,Independence from Portugal,7,September,1822.0,Brazil,Independence,São Paulo,Transition to Empire of Brazil,Brazilian population,Dom Pedro I,Positive,-1.2043218,-47.1583944
1068,Proclamation of the Republic,15,November,1889.0,Brazil,Political,Rio de Janeiro,End of the Brazilian Empire and the start of the Republic,Brazilian population,Marshal Deodoro da Fonseca,Positive,-22.9110137,-43.2093727
1074,FIFA World Cup Victory,30,June,2002.0,Brazil,Sports,Sweden,Brazil wins its first FIFA World Cup boosting national pride,Brazilian population,Football team,Positive,-15.8239261,-47.88914597892301
1075,Construction of Brasília,21,April,1960.0,Brazil,Urban Development,Brasília,Creation of a new capital aiming at interior development and national integration,Brazilian population,Juscelino Kubitschek,Mixed,-10.3333333,-53.2
1079,Rio Earth Summit,Unknown,June,1992.0,Brazil,Environmental,Rio de Janeiro,International conference on environment and sustainability,Global population,UN,Positive,-22.9110137,-43.2093727
1085,Amazon Rainforest Wildfires,Unknown,August,2019.0,Brazil,Environmental,Amazon Rainforest,International attention on Brazil's environmental policies and conservation efforts,Global and local environment,Various stakeholders,Negative,,
1089,The Black Death in Europe,Unknown,Unknown,1347.0,Germany,Pandemic,Europe,One of the most devastating pandemics in human history killing an estimated 25 million people in Europe,European population,Unknown,Negative,54.3482243,10.117805527229162
1090,Martin Luther's 95 Theses,31,October,1517.0,Germany,Religious,Wittenberg,Initiated the Protestant Reformation,Christians,Martin Luther,Mixed,51.8666527,12.646761
1091,The Peace of Augsburg,25,September,1555.0,Germany,Political,Augsburg,Allowed rulers to choose between Lutheranism and Catholicism leading to religious division,German states,Unknown,Positive,48.3690341,10.8979522
1092,The Defenestration of Prague,Unknown,May,1618.0,Germany,Political,Prague,Triggered the Thirty Years' War,Central European Christians,Bohemian Protestant nobles,Negative,50.0639135,14.4413073
1093,The Peace of Westphalia,Unknown,October,1648.0,Germany,Political,Münster and Osnabrück,Ended the Thirty Years' War marking the beginning of the state system,European population,European states,Positive,,
1094,The Foundation of the Kingdom of Prussia,Unknown,January,1701.0,Germany,Political,Kaliningrad,Establishment of Prussia as a kingdom leading to its rise as a major European power,European population,"Prussians, Frederick I",Positive,48.8432366,12.972922
1095,The Seven Years' War,Unknown,Unknown,1756.0,Germany,Military,Europe,Confirmed Prussia's status as a great European power shaping European geopolitics,German population,"European powers, Frederick II",Negative,54.3482243,10.117805527229162
1096,The Partition of Poland,Unknown,Unknown,1772.0,Germany,Political,Poland,Prussia acquired West Prussia,Poznań  and other territories,Polish population,Negative,52.2230983,21.02957465952579
1097,Napoleonic Wars and the Battle of Leipzig,Unknown,October,1813.0,Germany,Military,Leipzig,Decisive defeat of Napoleon's forces leading to his retreat from Germany,German states,Allied forces against Napoleon,Negative,51.3406321,12.3747329
1098,Congress of Vienna,Unknown,September,1814.0,Germany,Political,Vienna,Redrew the map of Europe after the Napoleonic Wars stabilizing the continent,Europeans,European powers,Mixed,52.47532,13.3237587
1099,Revolutions of 1848 in the German states,Unknown,Unknown,1848.0,Germany,Political/Social,German states,Series of interconnected revolutions demanding national unification and liberal reforms,German population,Various revolutionary groups,Mixed,,
1100,Unification of Germany,Unknown,January,1871.0,Germany,Political,Versailles,Establishment of the German Empire under Prussian leadership,German states,Wilhelm I,Positive,48.8565161,8.2191744
1102,World War I,Unknown,July,1814.0,Germany,Military,Europe,Germany's defeat led to significant territorial losses and the Treaty of Versailles,European powers,Allied Powers,Negative,54.3482243,10.117805527229162
1108,The Holocaust,Unknown,Unknown,1941.0,Germany,Genocide,Europe,Systematic murder of six million Jews and millions of others,Jews, Nazi regime,Negative,54.3482243,10.117805527229162
1109,Battle of Stalingrad,Unknown,July,1942.0,Germany,Military,Volgograd,Turning point in WWII first major defeat of Nazi Germany,German population, Soviet Union,Negative,,
1110,DUnknownDay (Normandy Landings),Unknown,June,1944.0,Germany,Military,Normandy,Allied invasion of NaziUnknownoccupied Europe beginning of the end of WWII in Europe,European civilians,Unknown,Positive,49.6852175,11.908791622314697
1114,Construction of the Berlin Wall,Unknown,August,1961.0,Germany,Political,Berlin,Physical division of East and West Berlin preventing East Germans from fleeing to the West,Berliners,East German government,Negative,52.5170365,13.3888599
1115,The Berlin Wall Falls,Unknown,November,1989.0,Germany,Political,Berlin,Symbolic end of the Cold War leading to German reunification,East and West Germans,East German government,Positive,52.5170365,13.3888599
1117,Treaty on the Final Settlement with Respect to Germany,Unknown,September,1990.0,Germany,Political,Moscow,Ended the Four Power rights and responsibilities for Germany and Berlin paving the way for German reunification,Germans,Two Plus Four Agreement negotiators,Positive,55.718493800000005,37.51628476520155
1118,Establishment of the European,Unknown,February,1992.0,Germany,Political,Maastricht,The Maastricht Treaty laid the foundation for further European integration,Europeans,European Community members,Positive,,
1122,May Revolution,25,May,1810.0,Argentina,Political,Buenos Aires,Beginning of the Argentine War for Independence from Spain,Argentinians,Revolutionary leaders of the Primera Junta,Positive,-34.6037181,-58.38153
1123,Declaration of Independence,9,July,1816.0,Argentina,Independence,Tucumán,Formal declaration of independence from Spanish rule,Argentinians,Congress of Tucumán,Positive,-26.5643582,-64.882397
1124,Conquest of the Desert,Unknown,Unknown,1870.0,Argentina,Military,Patagonia,Expansion into Patagonian territories displacing indigenous populations,Indigenous peoples,Julio Argentino Roca,Mixed,-44.99006975,-70.67343144015169
1128,Falklands War,2,April,1982.0,Argentina,Military,Falkland Islands,Conflict with the UK over the Falkland Islands leading to Argentine defeat,Argentinians,British,Negative,,
1133,1978 FIFA World Cup Victory,25,June,1978.0,Argentina,Sports,Buenos Aires,Argentina wins its first FIFA World Cup boosting national pride,Argentinians,Argentine National Football Team,Positive,-34.6037181,-58.38153
1135,Jorge Mario Bergoglio becomes Pope Francis,13,March,2013.0,Argentina,Religious,Vatican City,First Pope from the Americas global impact on Catholic Church,Catholics worldwide,Jorge Mario Bergoglio,Positive,,
1138,Establishment of the Olmec Civilization,Unknown,Unknown,-1400.0,Mexico,Cultural,Gulf Coast,Development of the first major civilization in Mexico,Indigenous populations,Unknown,Positive,,
1139,Founding of Teotihuacan,Unknown,Unknown,0.0,Mexico,Urban Development,Mexico City,Rise of a major preUnknownColumbian city known for its pyramids,Indigenous populations,Unknown,Positive,19.4326296,-99.1331785
1140,Maya Civilization's Classical Period,Unknown,Unknown,250.0,Mexico,Cultural,Yucatán Peninsula,"Flourishing of Maya science, art and architecture affecting trade networks and political power",Mayans,Unknown,Positive,18.801685900000003,-89.74269714573893
1141,The Fall of Teotihuacan,Unknown,Unknown,750.0,Mexico,Decline,Teotihuacan,Mysterious decline of a powerful city,Indigenous populations,Unknown,Negative,19.69335705,-98.88312638220704
1142,Founding of Tenochtitlán,18,July,1325.0,Mexico,Urban Development,Lake Texcoco,Establishment of the Aztec capital foundation for future Mexico City,Aztecs,Unknown,Positive,,
1143,Arrival of the Spanish and the Fall of Tenochtitlán,13,August,1521.0,Mexico,Conquest,Mexico City,Conquest of the Aztec Empire by Spanish forces,Aztecs,Hernán Cortés,Negative,19.4326296,-99.1331785
1145,Mexican War of Independence Begins,16,September,1810.0,Mexico,Independence,Dolores Hidalgo,Start of a war against Spanish rule leading to eventual independence,Mexicans,Miguel Hidalgo y Costilla,Positive,21.1049423,-100.913161418544
1146,Treaty of Córdoba,24,August,1821.0,Mexico,Independence,"Córdoba, Veracruz",Formal independence from Spain recognized,Mexicans,Agustín de Iturbide,Positive,18.8944704,-96.9352891
1148,U.S.UnknownMexican War,25,April,1846.0,Mexico,Military,Northern Mexico,Loss of vast territories to the United States,Mexicans,US,Negative,35.1252011,-106.6957017
