Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,Broad Category,Continent,Other,Military and Conflict,Political Events,Technological and Scientific Advancements,Crisis and Emergency Response,Economic and Infrastructure Development,Social and Cultural Events,Environmental and Health,Legal and Judicial Changes,International Relations and Diplomacy,Historical and Monumental,Social and Civil Rights
90,Independence of Bangladesh,16,December,1971,Pakistan,Country Formation,East Pakistan,"Resulted in the secession of East Pakistan, becoming Bangladesh.",People of Bangladesh,"Indian Armed Forces, Mukti Bahini",Mixed,Political Events,Asia,0.1762872,0.16556746,0.15828131,0.05849394,0.026789334,0.06875585,0.08157598,0.006906206,0.057252888,0.12386328,0.069880694,0.006345767
91,Pakistan's Nuclear Tests (ChagaiUnknownI),28,May,1998,Pakistan,Nuclear Test,"Chagai, Balochistan","Pakistan becomes a nuclear power, conducting its first successful nuclear tests.",International community,Government of Pakistan,Mixed,Technological and Scientific Advancements,Asia,0.056739613,0.08060207,0.10253927,0.33975795,0.07107079,0.09583977,0.030379428,0.029787447,0.0102247195,0.10834687,0.069144346,0.005567688
92,Kargil Conflict,Unknown,Unknown,1999,Pakistan,Military Conflict,"Kargil, Kashmir",A military conflict between India and Pakistan in the Kargil district of Kashmir.,Citizens of India and Pakistan,India and Pakistan,Negative,Military and Conflict,Asia,0.10126688,0.25909567,0.112013,0.086496636,0.16640495,0.04626981,0.043138243,0.04966628,0.009784694,0.07163457,0.050328813,0.003900403
93,2005 Kashmir Earthquake,8,October,2005,Pakistan,Natural Disaster,"Kashmir, Pakistan","A devastating earthquake affecting Kashmir region, causing widespread damage and casualties.",Residents of Kashmir,"Government of Pakistan, International Aid",Negative,Environmental and Health,Asia,0.029446278,0.058940034,0.047762964,0.06819191,0.2698751,0.06215072,0.033055678,0.4015653,0.00072610093,0.01085543,0.015369115,0.002061383
94,Assassination of Benazir Bhutto,27,December,2007,Pakistan,Political,Rawalpindi,The assassination of the former Prime Minister of Pakistan and a major political figure.,Pakistani citizens,Unknown assailants,Negative,Political Events,Asia,0.05374523,0.021252472,0.10953695,0.05043811,0.48461458,0.00012961621,0.042988475,0.08805482,0.025559742,0.0037046701,0.11977873,0.00019655573
95,Operation ZarbUnknowneUnknownAzb,15,June,2014,Pakistan,Military Operation,North Waziristan,A military operation against insurgent groups in North Waziristan part of the War on Terror.,Residents of North Waziristan,Pakistan Armed Forces,Positive,Military and Conflict,Asia,0.086463496,0.18419504,0.13301696,0.11299143,0.17125908,0.0393063,0.07530561,0.04874526,0.02832266,0.06709278,0.050950143,0.0023511897
96,2014 Peshawar School Massacre,16,December,2014,Pakistan,Terrorism,Peshawar,"A terrorist attack on the Army Public School, resulting in massive casualties, mostly children.","Students, teachers, families",TehrikUnknowniUnknownTaliban Pakistan,Negative,Crisis and Emergency Response,Asia,0.047221936,0.068348095,0.06566013,0.101583384,0.51336753,0.011600873,0.039314568,0.11695233,0.011393856,0.000276763,0.02358809,0.0006925729
97,ChinaUnknownPakistan Economic Corridor (CPEC) Agreement,20,April,2015,Pakistan,Economic/Infrastructure,Pakistan,A collection of infrastructure projects that are under construction throughout Pakistan.,Pakistani citizens,"Government of Pakistan, China",Positive,Economic and Infrastructure Development,Asia,0.07519844,0.032499168,0.12401198,0.079368375,0.02707694,0.25586775,0.08447827,0.05479482,0.01346401,0.17486161,0.07773084,0.00064784306
98,Panama Papers Case & Disqualification of PM Nawaz Sharif,28,July,2017,Pakistan,Political Corruption,Islamabad,Led to the disqualification of Prime Minister Nawaz Sharif from holding public office.,Pakistani citizens,Supreme Court of Pakistan,Mixed,Political Events,Asia,0.09351286,0.11824696,0.18126823,0.03877805,0.12982993,0.00010681323,0.050600927,0.0058689862,0.1853827,0.0276303,0.10407678,0.06469743
99,Kartarpur Corridor Opening,9,November,2019,Pakistan,Diplomatic/Religious,Kartarpur,"A border corridor between Pakistan and India, allowing Sikh pilgrims visaUnknownfree access to a holy site.",Sikh community,Governments of Pakistan and India,Positive,Political Events,Asia,0.15622674,0.036993764,0.12332635,0.064255826,0.029029734,0.1123663,0.12835228,0.0074871457,0.08076715,0.11576979,0.14257038,0.0028545517
100,FATF Grey List,Unknown,Unknown,2018,Pakistan,International Finance,"Paris, France",Pakistan placed on the 'grey list' by the Financial Action Task Force for terror financing and money laundering risks.,Pakistani economy,Financial Action Task Force (FATF),Negative,Political Events,Asia,0.01290697,0.0014392895,0.035742804,0.024499327,0.5630105,0.22107746,0.0058349962,0.087498546,0.00019470295,0.0035556434,0.028948428,0.015291356
101,Imran Khan Elected as Prime Minister,18,August,2018,Pakistan,Political,Islamabad,"Marks the first time a former cricketer transitioned to the Prime Minister, promising reform.",Pakistani citizens,Pakistan TehreekUnknowneUnknownInsaf (PTI),Positive,Political Events,Asia,0.1813931,0.059072528,0.2959714,0.00310867,0.001245607,0.19359785,0.0980434,0.0076674484,0.038656104,0.046218354,0.05425908,0.020766415
102,Abolition of FATA,31,May,2018,Pakistan,Administrative,Federally Administered Tribal Areas,"Integrated the tribal regions into the Khyber Pakhtunkhwa province, aiming to mainstream the governance.",Residents of FATA,Government of Pakistan,Positive,Other,Asia,0.14870746,0.072724216,0.19531612,0.016076528,0.01876449,0.10403474,0.09837426,0.031795718,0.13983174,0.0687546,0.10532539,0.00029471584
103,2019 Pulwama Attack and IndiaUnknownPakistan Standoff,14,February,2019,Pakistan,Military/Political,"Pulwama, India","Led to heightened military tensions between India and Pakistan, including crossUnknownborder air strikes.",Citizens of India and Pakistan,"JaishUnknowneUnknownMohammed, Governments of India and Pakistan",Negative,Other,Asia,0.09680564,0.13677154,0.08574884,0.106817834,0.23291647,0.05972055,0.03870336,0.053626306,0.008311167,0.1427957,0.03653495,0.0012475868
104,MinarUnknowneUnknownPakistan Construction,23,March,1960,Pakistan,Monument,Lahore,Symbolizes freedom and the independence of Pakistan.,Pakistani citizens,Government of Pakistan,Positive,Historical and Monumental,Asia,0.14607608,0.111567214,0.19033268,0.020165348,0.028895535,0.08476177,0.10753038,0.009580347,0.04913543,0.07941763,0.16577582,0.006761692
105,Lahore Resolution (Pakistan Resolution),23,March,1940,Pakistan,Political Declaration,Lahore,A formal political statement that called for greater Muslim autonomy in British India.,Muslims in British India,AllUnknownIndia Muslim League,Positive,Political Events,Asia,0.13998847,0.074509874,0.20262419,0.02913021,0.041934293,0.042531583,0.08883305,0.013422263,0.14307632,0.14298524,0.074320875,0.0066436897
106,Siachen Glacier Conflict,Unknown,Unknown,1984,Pakistan,Military Conflict,Siachen Glacier,A military conflict between India and Pakistan over the disputed Siachen Glacier region in Kashmir.,Indian & Pakistani militaries,India and Pakistan,Negative,Military and Conflict,Asia,0.07462647,0.16286853,0.0754569,0.12115058,0.17544511,0.03547048,0.050307926,0.12148857,0.020675797,0.06431152,0.0910622,0.0071360455
107,Indus Water Treaty,19,September,1960,Pakistan,International Agreement,Karachi,"A waterUnknowndistribution treaty between India and Pakistan, brokered by the World Bank.",Residents of India and Pakistan,"India, Pakistan, World Bank",Positive,International Relations and Diplomacy,Asia,0.117733195,0.069013625,0.09241672,0.09813648,0.01868506,0.106124066,0.07723304,0.030996505,0.07879415,0.24427496,0.0657839,0.0008083873
108,Pakistan Atomic Energy Commission Establishment,1956,Unknown,1956,Pakistan,Scientific Organization,Islamabad,Established to oversee the nuclear energy and research projects in Pakistan.,Pakistani population,Government of Pakistan,Positive,Political Events,Asia,0.074022666,0.00538681,0.11014929,0.18762507,0.058807988,0.10147386,0.06923269,0.0268081,0.045934282,0.23686475,0.0772846,0.006409913
109,Nationalization in Pakistan,Unknown,Unknown,1972,Pakistan,Economic Policy,Nationwide,"The government took control of private industries, banks, and educational institutions.","Business owners, general public",Zulfikar Ali Bhutto,Mixed,Economic and Infrastructure Development,Asia,0.15382884,0.102469526,0.20234524,0.018153232,0.0145138,0.19113752,0.12543376,0.0050345804,0.054788854,0.05160755,0.07723479,0.0034522037
110,Islamabad Declaration,22,January,1980,Pakistan,International Relations,Islamabad,An Islamic summit that led to the creation of the Economic Cooperation Organization (ECO).,ECO member states,Leaders of MuslimUnknownmajority countries,Positive,International Relations and Diplomacy,Asia,0.11214471,0.044430505,0.13305129,0.08294824,0.016363936,0.13451426,0.133662,0.009189572,0.02916308,0.23286371,0.065428875,0.0062398277
111,Motorway Network Development,Unknown,Unknown,1997,Pakistan,Infrastructure,Nationwide,Development of a network of motorways to improve transportation and trade.,Pakistani citizens,Government of Pakistan,Positive,Economic and Infrastructure Development,Asia,0.11754892,0.030782444,0.064533986,0.07574063,0.060073152,0.41766867,0.075948834,0.07247498,0.00050371164,0.04054052,0.025978545,0.01820556
112,Women's Protection Bill,15,November,2006,Pakistan,Legislation,Islamabad,Aims to amend and strengthen laws related to women's rights and protection.,Women in Pakistan,Parliament of Pakistan,Positive,Other,Asia,0.1882581,0.038867418,0.09676212,0.00029615828,0.0024528608,0.038941886,0.07712168,0.026463464,0.39823648,0.09394642,0.021331144,0.01732223
113,Malala Yousafzai's Nobel Peace Prize,10,December,2014,Pakistan,International Recognition,"Oslo, Norway",Awarded for her struggle against the suppression of children and young people and for the right of all children to education.,Global community,"Malala Yousafzai, Kailash Satyarthi",Positive,Political Events,Asia,0.12340641,0.06805299,0.09244884,0.12456755,0.076092735,0.023093533,0.106500715,0.06961326,0.12296504,0.108794466,0.041369524,0.04309497
114,ChinaUnknownPakistan Friendship Highway Completion,Unknown,Unknown,1986,Pakistan,Infrastructure,Khunjerab Pass to Hassan Abdal,"Part of the Karakoram Highway, symbolizing the strong bilateral relationship between China and Pakistan.","Residents, traders",Governments of China and Pakistan,Positive,Economic and Infrastructure Development,Asia,0.09318629,0.061440103,0.08797751,0.056570765,0.009802575,0.17471,0.074244425,0.023343796,0.002629299,0.3027005,0.11181513,0.0015796424
115,Benazir Income Support Programme Launch,Unknown,Unknown,2008,Pakistan,Social Welfare Program,Nationwide,A federal unconditional cash transfer poverty reduction program in Pakistan.,LowUnknownincome families,Government of Pakistan,Positive,Political Events,Asia,0.1108189,0.043764602,0.15241875,0.06214519,0.00015549558,0.33994448,0.08647144,0.05007096,0.05040153,0.058169615,0.0073869415,0.038252115
116,18th Amendment to the Constitution,19,April,2010,Pakistan,Constitutional Amendment,Islamabad,A landmark amendment that devolved significant powers from the federal government to the provinces.,Pakistani citizens,Parliament of Pakistan,Positive,Political Events,Asia,0.1321726,0.082180105,0.20756902,0.0054482664,0.01916758,0.08891895,0.09438684,0.022961514,0.19135138,0.062437616,0.088129185,0.0052768155
117,Pakistan's First Satellite Launch,16,July,1990,Pakistan,Space Exploration,"Xichang, China","Launch of BadrUnknown1, Pakistan's first indigenously developed and manufactured satellite.",Pakistani scientific community,SUPARCO,Positive,Technological and Scientific Advancements,Asia,0.070422396,0.046723906,0.07415898,0.48747548,0.032378398,0.08988371,0.06943228,0.025016908,0.0035044495,0.045019872,0.027685175,0.028298551
118,Protection of Women Act,29,November,2006,Pakistan,Legislation,Islamabad,Enhances legal protections for women against violence and discrimination.,Women in Pakistan,Parliament of Pakistan,Positive,Other,Asia,0.19599532,0.048031025,0.093670964,8.322411e-06,0.039715078,0.003509588,0.09328664,0.009789171,0.4380846,0.051538892,0.02258823,0.0037821718
119,National Database and Registration Authority (NADRA) Establishment,1998,Unknown,1998,Pakistan,Government Agency,Islamabad,Established to maintain a secure and efficient national identity system.,Pakistani citizens,Government of Pakistan,Positive,Political Events,Asia,0.14833769,0.03123549,0.16603658,0.03411964,4.2195534e-05,0.0391834,0.14077678,0.0016315384,0.238479,0.07483547,0.067524,0.057798162
120,Karachi Nuclear Power Plant Operational,1972,Unknown,1972,Pakistan,Nuclear Energy,Karachi,Marks the beginning of nuclear energy use for peaceful purposes in Pakistan.,Pakistani population,Pakistan Atomic Energy Commission,Positive,Technological and Scientific Advancements,Asia,0.09455718,0.042401336,0.11855095,0.22097117,0.09418127,0.1264737,0.08165678,0.03423842,0.0092048375,0.11163221,0.06611569,1.6459064e-05
121,HEC Digital Library Initiative,2004,Unknown,2004,Pakistan,Education,Nationwide,Provides students and researchers access to international scholarly literature.,"Students, researchers",Higher Education Commission of Pakistan,Positive,Social and Cultural Events,Asia,0.063271776,0.011299669,0.05461033,0.2030111,0.008121354,0.07844406,0.10351369,0.04791252,0.12199371,0.15016215,0.052992623,0.10466695
122,Gwadar Port Development,22,March,2002,Pakistan,Infrastructure,Gwadar,"Development of a major deepUnknownsea port in the Arabian Sea, aiming to enhance trade.","Pakistani economy, regional trade","Government of Pakistan, China",Positive,Economic and Infrastructure Development,Asia,0.104336746,0.05114723,0.06612341,0.15589683,0.00293917,0.27529803,0.06169863,0.027494824,0.0019285384,0.18011047,0.055168707,0.01785751
123,National Action Plan Against Terrorism,24,December,2014,Pakistan,Security Policy,Nationwide,A comprehensive action plan for tackling terrorism in Pakistan following the Peshawar school massacre.,Pakistani citizens,Government of Pakistan,Positive,Political Events,Asia,0.08523404,0.058736768,0.12552834,0.095535934,0.30157867,0.066426255,0.057360522,0.10921045,0.056845292,0.021755151,0.013060629,0.008727819
124,Independence from British Rule,4,February,1948,Sri Lanka,Political,Colombo,Marked the end of British colonial rule and the beginning of selfUnknowngovernance.,Sri Lankan citizens,Don Stephen Senanayake,Positive,Political Events,Asia,0.15348588,0.18425761,0.19481762,0.025348114,0.014712482,0.07639804,0.13969757,0.011302383,0.08011286,0.05726135,0.05630982,0.006296341
125,Sinhala Only Act,5,June,1956,Sri Lanka,Legislation,Sri Lanka,"Made Sinhala the sole official language, exacerbating ethnic tensions.",Sinhalese and Tamil populations,Solomon Bandaranaike,Negative,Other,Asia,0.2421675,0.08874661,0.12147878,0.0022475068,0.029337006,0.0061807046,0.116546005,0.028430752,0.1433918,0.14441407,0.058751807,0.018307475
126,1983 Black July Riots,23,July,1983,Sri Lanka,Ethnic Conflict,"Colombo, others",Triggered a civil war between the Sri Lankan government and LTTE.,"Sri Lankan Tamils, general population",Various groups and individuals,Negative,Political Events,Asia,0.14840694,0.14920081,0.1721869,0.014703426,0.097435,0.050717372,0.14729984,0.06592455,0.07485496,0.02296418,0.056053028,0.00025291427
